,City,Lat,Lng,Max Temp,Humidity,Cloud Coverage,Wind Speed,Country,Date
0,lubao,14.92,120.55,91.4,59,75,4.7,PH,1593842888
1,yellowknife,62.46,-114.35,57.99,100,90,11.41,CA,1593842315
2,katsuura,35.13,140.3,82.4,69,75,28.86,JP,1593842890
3,vostok,46.49,135.88,78.62,44,41,7,RU,1593842890
4,pisco,-13.7,-76.22,57,93,20,4.7,PE,1593842891
5,bluff,-46.6,168.33,47.53,86,100,7.87,NZ,1593842891
6,ribeira grande,38.52,-28.7,68.52,90,66,2.68,PT,1593842397
7,new norfolk,-42.78,147.06,54,78,97,1.99,AU,1593842893
8,antalaha,-14.9,50.28,71.8,90,100,6.02,MG,1593842893
9,alofi,-19.06,-169.92,73.4,78,99,12.75,NU,1593842388
10,saskylakh,71.92,114.08,58.77,48,59,14.92,RU,1593842453
11,ilulissat,69.22,-51.1,41,86,0,4.7,GL,1593842334
12,taolanaro,,,,,,,,
13,belushya guba,,,,,,,,
14,bur gabo,,,,,,,,
15,arraial do cabo,-22.97,-42.03,67.71,75,66,10.07,BR,1593842361
16,pangoa,-12.12,-73,66.38,91,91,1.45,PE,1593842898
17,rikitea,-23.12,-134.97,72,70,12,16.04,PF,1593842899
18,takhtamygda,54.1,123.57,66.49,52,99,12.08,RU,1593842900
19,ostrovnoy,68.05,39.51,60.03,78,93,13.29,RU,1593842900
20,srivardhan,18.03,73.02,79.83,88,100,11.21,IN,1593842901
21,hobart,-42.88,147.33,55,76,75,6.93,AU,1593842101
22,saint-philippe,-21.36,55.77,73.4,60,64,6.93,RE,1593842902
23,hithadhoo,-0.6,73.08,85.24,69,89,11.43,MV,1593842349
24,sur,22.57,59.53,94.05,48,0,6.08,OM,1593842469
25,ust-kan,50.93,84.76,67.24,54,9,13.31,RU,1593842904
26,chokurdakh,70.63,147.92,41.95,84,100,14.83,RU,1593842905
27,cape town,-33.93,18.42,52,93,70,6.93,ZA,1593842319
28,iqaluit,63.75,-68.51,42.8,70,75,2.24,CA,1593842410
29,thinadhoo,0.53,72.93,85.24,68,70,10.8,MV,1593842907
30,caramay,10.18,119.24,85.35,69,58,5.14,PH,1593842598
31,butaritari,3.07,172.79,83.8,68,74,10.16,KI,1593842908
32,castro,-24.79,-50.01,40.5,96,7,3.76,BR,1593842909
33,cherskiy,68.75,161.3,62.83,44,95,8.48,RU,1593842909
34,norman wells,65.28,-126.83,55.4,82,75,4.7,CA,1593842910
35,atuona,-9.8,-139.03,79.88,74,6,22.35,PF,1593842911
36,nizhneyansk,,,,,,,,
37,lethem,3.38,-59.8,74.66,86,81,5.88,GY,1593842912
38,east london,-33.02,27.91,50,71,2,6.93,ZA,1593842912
39,monterey,36.25,-121.25,66.99,36,0,4.92,US,1593842680
40,manuk mangkaw,4.8,119.85,81.55,81,90,22.48,PH,1593842914
41,severo-kurilsk,50.68,156.12,50.43,81,96,7.14,RU,1593842361
42,luwuk,-0.95,122.79,81.23,78,76,6.71,ID,1593842915
43,mairipora,-23.32,-46.59,55.99,87,90,5.82,BR,1593842915
44,rio grande,-32.03,-52.1,46.27,80,3,9.37,BR,1593842475
45,yumen,40.28,97.2,90,11,0,5.41,CN,1593842917
46,sobolevo,54.43,31.9,67.46,88,100,3.6,RU,1593842609
47,vaini,-21.2,-175.2,69.8,68,40,8.05,TO,1593842918
48,clyde river,70.47,-68.59,42.8,81,90,9.17,CA,1593842919
49,sidney,-33.87,151.21,60.01,41,20,5.82,AU,1593842741
50,owo,7.2,5.59,71.91,98,100,5.48,NG,1593842920
51,bredasdorp,-34.53,20.04,42.8,93,68,2.24,ZA,1593842920
52,deputatskiy,69.3,139.9,44.82,63,97,14.25,RU,1593842276
53,bhitarwar,25.8,78.12,104.05,31,52,1.59,IN,1593842922
54,nizhnevartovsk,60.93,76.55,73.4,60,20,8.95,RU,1593842922
55,odry,49.66,17.83,68,93,1,2.24,CZ,1593842923
56,puerto ayora,-0.74,-90.35,69.01,94,84,4,EC,1593842362
57,narsaq,60.92,-46.05,51.8,34,37,12.75,GL,1593842924
58,nanortalik,60.14,-45.24,40.98,86,32,9.01,GL,1593842365
59,trofors,65.53,13.41,51.8,76,19,13.87,NO,1593842925
60,roberval,48.52,-72.23,62.6,51,20,8.05,CA,1593842926
61,chagda,,,,,,,,
62,mataura,-46.19,168.86,43.5,92,100,4.18,NZ,1593842927
63,hilo,19.73,-155.09,78.8,74,90,10.29,US,1593842870
64,wenling,28.37,121.36,82,59,100,8.16,CN,1593842928
65,kaifeng,34.79,114.35,87.8,66,40,4.47,CN,1593842929
66,sambava,-14.27,50.17,73.38,83,100,11.7,MG,1593842929
67,upernavik,72.79,-56.15,36.25,91,100,12.1,GL,1593842930
68,carnarvon,-24.87,113.63,86,15,7,12.75,AU,1593842375
69,lagoa,39.05,-27.98,67.86,91,33,4.81,PT,1593842931
70,kuche,,,,,,,,
71,mar del plata,-38,-57.56,48.99,93,75,9.17,AR,1593842932
72,aksu,41.12,80.26,89.33,14,11,3.94,CN,1593842933
73,bethel,41.37,-73.41,64.99,97,100,4.94,US,1593842933
74,broken hill,-31.95,141.43,53.6,58,90,14.99,AU,1593842934
75,jakar,27.55,90.75,66.43,71,98,4.56,BT,1593842934
76,hambantota,6.12,81.12,87.8,70,40,18.34,LK,1593842373
77,avarua,-21.21,-159.78,73.4,94,100,2.24,CK,1593842936
78,emba,48.83,58.14,81.19,39,0,12.86,KZ,1593842936
79,hermanus,-34.42,19.23,55.94,54,78,11.54,ZA,1593842937
80,cam pha,,,,,,,,
81,airai,-8.93,125.41,62.08,98,66,6.53,TL,1593842357
82,fuerte olimpo,-21.04,-57.87,62.15,54,62,3.06,PY,1593842939
83,milas,37.32,27.78,80.6,61,0,2.26,TR,1593842939
84,kavieng,-2.57,150.8,83.89,70,61,3.62,PG,1593842451
85,aurdal,60.92,9.42,37,84,64,2.55,NO,1593842940
86,bengkulu,-3.8,102.27,85.5,65,95,7.83,ID,1593842349
87,vila franca do campo,37.72,-25.43,62.6,88,20,4.7,PT,1593842468
88,store heddinge,55.31,12.39,60.8,93,100,16.11,DK,1593842942
89,chuy,-33.7,-53.46,43.48,88,69,7.94,UY,1593842360
90,peterhead,57.51,-1.8,48,93,94,2.24,GB,1593842944
91,punta arenas,-53.15,-70.92,33.8,94,100,2.24,CL,1593842944
92,pangnirtung,66.15,-65.71,47.61,59,0,0.13,CA,1593842553
93,port alfred,-33.59,26.89,60.01,54,44,5.01,ZA,1593842945
94,ekuvukeni,-28.47,30.16,47.01,64,6,2.44,ZA,1593842946
95,luderitz,-26.65,15.16,59,37,0,3.36,NA,1593842450
96,solovetskiy,,,,,,,,
97,west wendover,40.74,-114.07,82.4,17,1,19.46,US,1593842948
98,proddatur,14.73,78.55,86,66,75,9.17,IN,1593842948
99,sisimiut,66.94,-53.67,47.91,65,26,11.21,GL,1593842949
100,tarudant,,,,,,,,
101,attawapiskat,,,,,,,,
102,talnakh,69.49,88.4,71.6,35,89,20.13,RU,1593842951
103,sacramento,38.47,-121.32,69.8,49,1,5.82,US,1593842860
104,busselton,-33.65,115.33,68,38,77,15.05,AU,1593842952
105,omvriaki,39.1,22.27,84.2,54,0,5.82,GR,1593842953
106,pizhanka,57.46,48.54,67.93,92,99,5.59,RU,1593842953
107,pinawa,50.15,-95.88,66.38,66,20,2.42,CA,1593842954
108,chongqing,29.56,106.55,80.6,83,40,2.24,CN,1593842955
109,varadero,23.15,-81.25,75.2,100,40,1.12,CU,1593842955
110,saquarema,-22.92,-42.51,66.04,79,80,5.82,BR,1593842956
111,albany,42.6,-73.97,68,90,78,2.39,US,1593842957
112,ahipara,-35.17,173.17,52.21,76,53,6.64,NZ,1593842500
113,segovia,41.17,-4,53.01,31,0,2.53,ES,1593842958
114,khatanga,71.97,102.5,65.1,32,0,14.52,RU,1593842958
115,barrow,71.29,-156.79,39.2,86,1,16.11,US,1593842959
116,telfs,47.3,11.07,59,82,75,1.12,AT,1593842959
117,atkinson,42.84,-71.15,63,93,90,6.93,US,1593842960
118,georgetown,5.41,100.34,89.6,66,20,4.7,MY,1593842961
119,cidreira,-30.18,-50.21,50.04,76,0,12.88,BR,1593842961
120,margate,51.38,1.39,62.01,88,100,7,GB,1593842569
121,laiyang,36.98,120.71,87.01,48,69,1.01,CN,1593842812
122,san cristobal,7.77,-72.22,66.13,92,100,3.44,VE,1593842461
123,kamenka,51.32,42.77,84,46,8,5.99,RU,1593842964
124,kaitangata,-46.28,169.85,48,79,100,1.99,NZ,1593842434
125,port elizabeth,-33.92,25.57,44.6,93,52,2.24,ZA,1593842965
126,othonoi,,,,,,,,
127,viedma,-40.81,-63,40.57,86,6,8.25,AR,1593842782
128,kununurra,-15.77,128.73,86,26,79,17.22,AU,1593842455
129,freeport,40.66,-73.58,70,88,90,4.7,US,1593842714
130,ushuaia,-54.8,-68.3,28.4,100,90,2.24,AR,1593842968
131,qaqortoq,60.72,-46.03,51.8,34,35,12.75,GL,1593842968
132,dabola,10.75,-11.12,70.25,93,100,4.59,GN,1593842969
133,almaznyy,48.04,40.05,84.2,37,0,11.18,RU,1593842970
134,vardo,70.37,31.11,48.56,94,100,15.37,NO,1593842970
135,fortuna,40.6,-124.16,55,87,1,5.82,US,1593842428
136,souillac,-20.52,57.52,69.8,83,40,12.75,MU,1593842971
137,chinna salem,11.65,78.9,85.01,63,100,7.92,IN,1593842972
138,jamestown,42.1,-79.24,71.6,78,75,1.59,US,1593842973
139,mahebourg,-20.41,57.7,69.8,83,40,12.75,MU,1593842973
