,City,Lat,Lng,Max Temp,Humidity,Cloud Coverage,Wind Speed,Country,Date
0,bethel,41.37,-73.41,64.99,97.0,100.0,4.94,US,1593842242
1,ust-nera,64.57,143.2,58.24,36.0,98.0,7.56,RU,1593842242
2,avarua,-21.21,-159.78,73.4,94.0,100.0,3.36,CK,1593842243
3,rikitea,-23.12,-134.97,72.0,70.0,12.0,16.04,PF,1593842244
6,bluff,-46.6,168.33,47.53,86.0,100.0,7.87,NZ,1593842245
7,cabo rojo,18.09,-67.15,82.0,88.0,21.0,1.99,PR,1593842246
8,padang,-0.95,100.35,85.55,68.0,80.0,4.7,ID,1593842247
9,peace river,56.25,-117.29,51.8,87.0,90.0,11.41,CA,1593842247
10,coihaique,-45.58,-72.07,28.4,92.0,20.0,2.01,CL,1593842248
11,henties bay,-22.12,14.28,73.0,25.0,0.0,1.01,NA,1593842249
12,albany,42.6,-73.97,68.0,90.0,78.0,2.39,US,1593842071
13,nizhniy kuranakh,58.84,125.49,65.1,56.0,100.0,8.34,RU,1593842250
14,ushuaia,-54.8,-68.3,28.4,100.0,90.0,2.24,AR,1593842250
15,moose factory,51.26,-80.61,53.6,93.0,90.0,2.24,CA,1593842251
16,havoysund,71.0,24.66,44.6,87.0,75.0,4.7,NO,1593842252
17,punta arenas,-53.15,-70.92,33.8,94.0,100.0,2.24,CL,1593842252
18,mataura,-46.19,168.86,43.5,92.0,100.0,4.18,NZ,1593842253
19,nuzvid,16.78,80.85,82.4,83.0,75.0,11.41,IN,1593842253
20,fort nelson,58.81,-122.7,55.4,87.0,90.0,4.7,CA,1593842254
21,dingle,11.0,122.67,87.48,66.0,42.0,4.29,PH,1593842255
22,kudahuvadhoo,2.67,72.89,84.42,68.0,96.0,6.89,MV,1593842255
23,bredasdorp,-34.53,20.04,42.8,93.0,68.0,2.24,ZA,1593842256
24,kavaratti,10.57,72.64,87.8,74.0,20.0,11.41,IN,1593842256
25,mvuma,-19.28,30.53,53.74,65.0,0.0,12.59,ZW,1593842257
26,sovetskiy,61.36,63.58,74.7,40.0,0.0,4.47,RU,1593842258
27,busselton,-33.65,115.33,68.0,38.0,77.0,15.05,AU,1593842209
28,khatanga,71.97,102.5,65.1,32.0,0.0,14.52,RU,1593841986
29,cherskiy,68.75,161.3,62.83,44.0,95.0,8.48,RU,1593842260
30,mar del plata,-38.0,-57.56,48.99,93.0,75.0,9.17,AR,1593842216
31,vizinga,61.07,50.1,71.01,70.0,100.0,8.41,RU,1593842261
32,faanui,-16.48,-151.75,80.44,81.0,31.0,11.81,PF,1593842261
33,jamestown,42.1,-79.24,71.6,78.0,75.0,1.59,US,1593842195
34,kapaa,22.08,-159.32,78.8,74.0,75.0,12.75,US,1593842263
35,blairmore,49.6,-114.44,55.0,76.0,1.0,8.05,CA,1593842263
36,belaya gora,68.53,146.42,41.38,90.0,100.0,8.99,RU,1593842061
37,pacific grove,36.62,-121.92,57.99,87.0,1.0,3.36,US,1593842150
38,vaini,-21.2,-175.2,69.8,68.0,40.0,9.17,TO,1593842265
39,lalsk,60.74,47.59,69.69,85.0,100.0,6.44,RU,1593842266
40,santa fe,-31.63,-60.7,51.01,83.0,0.0,4.0,AR,1593842266
42,vaitape,-16.52,-151.75,81.27,79.0,29.0,11.9,PF,1593842268
43,san patricio,19.22,-104.7,76.91,80.0,32.0,3.87,MX,1593842268
44,dikson,73.51,80.55,52.05,65.0,68.0,11.48,RU,1593842269
45,tuktoyaktuk,69.45,-133.04,37.4,93.0,90.0,24.16,CA,1593842270
46,nikolskoye,59.7,30.79,64.99,63.0,20.0,6.71,RU,1593842270
47,atuona,-9.8,-139.03,79.88,74.0,6.0,22.35,PF,1593842271
48,touros,-5.2,-35.46,73.4,94.0,75.0,4.7,BR,1593842271
49,hailar,49.2,119.7,82.51,30.0,56.0,7.78,CN,1593842272
50,new norfolk,-42.78,147.06,55.0,76.0,97.0,3.0,AU,1593842273
51,port hardy,50.7,-127.42,57.2,76.0,75.0,4.7,CA,1593842273
53,haines junction,60.75,-137.51,61.63,43.0,85.0,2.44,CA,1593842274
54,dzaoudzi,-12.79,45.27,80.6,69.0,75.0,19.46,YT,1593842275
55,kaeo,-35.1,173.78,55.0,3.0,98.0,5.75,NZ,1593842276
56,port alfred,-33.59,26.89,57.99,57.0,44.0,1.99,ZA,1593842276
57,hay river,60.82,-115.8,55.4,100.0,90.0,3.36,CA,1593842277
58,santa eulalia,-11.85,-76.68,59.0,87.0,20.0,4.7,PE,1593842277
59,korla,41.76,86.15,91.56,15.0,49.0,12.62,CN,1593842254
60,tiksi,71.69,128.87,34.54,94.0,90.0,14.61,RU,1593842279
62,hilo,19.73,-155.09,78.8,74.0,90.0,10.29,US,1593842120
63,mezen,65.85,44.24,64.08,82.0,91.0,7.27,RU,1593842280
